Edad simple;Sexo;Provincias;Periodo;Total
Todas las edades;Total;31 Navarra;1 de enero de 2014;637.099
Todas las edades;Total;31 Navarra;1 de enero de 2013;639.089
Todas las edades;Total;31 Navarra;1 de enero de 2012;640.023
Todas las edades;Total;32 Ourense;1 de enero de 2021;305.297
Todas las edades;Total;32 Ourense;1 de enero de 2020;306.825
Todas las edades;Total;32 Ourense;1 de enero de 2019;307.764
Todas las edades;Total;32 Ourense;1 de enero de 2018;309.290
Todas las edades;Total;32 Ourense;1 de enero de 2017;311.385
Todas las edades;Total;32 Ourense;1 de enero de 2016;314.476
Todas las edades;Total;32 Ourense;1 de enero de 2015;318.288
Todas las edades;Total;32 Ourense;1 de enero de 2014;321.472
Todas las edades;Total;32 Ourense;1 de enero de 2013;325.140
Todas las edades;Total;32 Ourense;1 de enero de 2012;328.188
Todas las edades;Total;34 Palencia;1 de enero de 2021;159.146
Todas las edades;Total;34 Palencia;1 de enero de 2020;160.357
Todas las edades;Total;34 Palencia;1 de enero de 2019;161.053
Todas las edades;Total;34 Palencia;1 de enero de 2018;162.064
Todas las edades;Total;34 Palencia;1 de enero de 2017;163.221
Todas las edades;Total;34 Palencia;1 de enero de 2016;164.421
Todas las edades;Total;34 Palencia;1 de enero de 2015;165.820
Todas las edades;Total;34 Palencia;1 de enero de 2014;167.237
Todas las edades;Total;34 Palencia;1 de enero de 2013;168.670
Todas las edades;Total;34 Palencia;1 de enero de 2012;170.301
Todas las edades;Total;35 Palmas, Las;1 de enero de 2021;1.131.359
Todas las edades;Total;35 Palmas, Las;1 de enero de 2020;1.131.195
Todas las edades;Total;35 Palmas, Las;1 de enero de 2019;1.121.686
Todas las edades;Total;35 Palmas, Las;1 de enero de 2018;1.111.873
Todas las edades;Total;35 Palmas, Las;1 de enero de 2017;1.105.579
Todas las edades;Total;35 Palmas, Las;1 de enero de 2016;1.099.894
Todas las edades;Total;35 Palmas, Las;1 de enero de 2015;1.097.578
Todas las edades;Total;35 Palmas, Las;1 de enero de 2014;1.094.856
